"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,-180,115,-9.198379096145
12.5,-180,116,-9.28014928595983
12.5,-180,117,-9.43245823378238
12.5,-180,118,-9.66711086306408
12.5,-180,119,-9.99895626970651
12.5,-180,120,-10.4472350586431
12.5,-180,121,-11.0377593569648
12.5,-180,122,-11.8066413566905
12.5,-180,123,-12.8071240231041
12.5,-180,124,-14.1232565396777
12.5,-180,125,-15.9007829414212
12.5,-180,126,-18.4303450636162
12.5,-180,127,-22.4471403209754
12.5,-180,128,-31.1805387604745
12.5,-180,129,-32.6890417145594
12.5,-180,130,-22.3493763553381
12.5,-180,131,-17.6641087331002
12.5,-180,132,-14.6156212677673
12.5,-180,133,-12.3883767495716
12.5,-180,134,-10.6759000818711
12.5,-180,135,-9.33214065551262
12.5,-180,136,-8.27874034143392
12.5,-180,137,-7.47167025358994
12.5,-180,138,-6.88708252582008
12.5,-180,139,-6.51489782318296
12.5,-180,140,-6.35620420857637
12.5,-180,141,-6.42313284630911
12.5,-180,142,-6.74114372025181
12.5,-180,143,-7.35486150678439
12.5,-180,144,-8.34091383918313
12.5,-180,145,-9.83774038620101
12.5,-180,146,-12.1262229478178
12.5,-180,147,-15.9179803691664
12.5,-180,148,-24.2742853573921
12.5,-180,149,-26.6011285301369
12.5,-180,150,-15.8691675840535
12.5,-180,151,-11.1225592225494
12.5,-180,152,-8.09196645915156
12.5,-180,153,-5.93867644241468
12.5,-180,154,-4.35271083780554
12.5,-180,155,-3.19049382664788
12.5,-180,156,-2.38021511638714
12.5,-180,157,-1.88908787360109
12.5,-180,158,-1.71139660845864
12.5,-180,159,-1.86659246670494
12.5,-180,160,-2.40596074636591
12.5,-180,161,-3.43333884135416
12.5,-180,162,-5.16166536683232
12.5,-180,163,-8.09756600239657
12.5,-180,164,-13.982734637361
12.5,-180,165,-31.4856006601232
12.5,-180,166,-10.9866997195605
12.5,-180,167,-5.00521413916466
12.5,-180,168,-1.31098859501941
12.5,-180,169,1.35757998261565
12.5,-180,170,3.4190792680605
12.5,-180,171,5.06487685419691
12.5,-180,172,6.39846392920415
12.5,-180,173,7.48192310392342
12.5,-180,174,8.35513083599476
12.5,-180,175,9.04488008533113
12.5,-180,176,9.56965852088848
12.5,-180,177,9.942331648387
12.5,-180,178,10.1717214191945
12.5,-180,179,10.2635551650993
12.5,-180,180,10.2210258936998
12.5,0,-180,10.2210258936998
12.5,0,-179,10.2635551650993
12.5,0,-178,10.1717214191945
12.5,0,-177,9.942331648387
12.5,0,-176,9.56965852088848
12.5,0,-175,9.04488008533113
12.5,0,-174,8.35513083599476
12.5,0,-173,7.48192310392342
12.5,0,-172,6.39846392920415
12.5,0,-171,5.06487685419692
12.5,0,-170,3.4190792680605
12.5,0,-169,1.35757998261565
12.5,0,-168,-1.31098859501941
12.5,0,-167,-5.00521413916467
12.5,0,-166,-10.9866997195605
12.5,0,-165,-31.4856006601229
12.5,0,-164,-13.982734637361
12.5,0,-163,-8.09756600239657
12.5,0,-162,-5.16166536683232
12.5,0,-161,-3.43333884135417
12.5,0,-160,-2.40596074636591
12.5,0,-159,-1.86659246670494
12.5,0,-158,-1.71139660845864
12.5,0,-157,-1.88908787360109
12.5,0,-156,-2.38021511638714
12.5,0,-155,-3.19049382664788
12.5,0,-154,-4.35271083780554
12.5,0,-153,-5.93867644241468
12.5,0,-152,-8.09196645915157
12.5,0,-151,-11.1225592225494
12.5,0,-150,-15.8691675840535
12.5,0,-149,-26.6011285301368
