"Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
12.5,0,-36,-19.6279766345188
12.5,0,-34,-23.0456478510064
12.5,0,-32,-26.9231430198651
12.5,0,-30,-22.6734884254009
12.5,0,-28,-17.8309447754737
12.5,0,-26,-14.7863272539796
12.5,0,-24,-13.0280375560553
12.5,0,-22,-12.3451851987244
12.5,0,-20,-12.8070723049741
12.5,0,-18,-14.8893278772983
12.5,0,-16,-20.4698863241823
12.5,0,-14,-25.3429926418387
12.5,0,-12,-13.9518759112235
12.5,0,-10,-8.48080825490302
12.5,0,-8,-5.05772870303094
12.5,0,-6,-2.75228102729592
12.5,0,-4,-1.22657874412686
12.5,0,-2,-0.331102079699818
12.5,0,0,0
12.5,0,2,-0.217250140020643
12.5,0,4,-1.00875560724205
12.5,0,6,-2.45224192174642
12.5,0,8,-4.71558918776878
12.5,0,10,-8.17803433834728
12.5,0,12,-13.9370067414222
12.5,0,14,-28.3439784881122
12.5,0,16,-19.2054735381103
12.5,0,18,-13.905190144033
12.5,0,20,-12.0578845548911
12.5,0,22,-11.8489333813629
12.5,0,24,-12.8347583967139
12.5,0,26,-14.9194824062755
12.5,0,28,-18.0003483135282
12.5,0,30,-20.7452311235517
12.5,0,32,-20.1330825541675
12.5,0,34,-18.0593492527088
12.5,0,36,-16.6952475427545
12.5,0,38,-16.2433859192869
12.5,0,40,-16.6012173006815
12.5,0,42,-17.7059018614558
12.5,0,44,-19.5558539164335
12.5,0,46,-22.1609853889016
12.5,0,48,-25.227450399013
12.5,0,50,-27.0809940303883
12.5,0,52,-26.1490864544666
12.5,0,54,-24.4038337038047
12.5,0,56,-23.1409998909048
12.5,0,58,-22.4863001826427
12.5,0,60,-22.3506491163329
12.5,0,62,-22.6481558431449
12.5,0,64,-23.3201151025106
12.5,0,66,-24.3319619581226
12.5,0,68,-25.6695418215519
12.5,0,70,-27.3382337452487
12.5,0,72,-29.3653155716377
12.5,0,74,-31.8051398435006
12.5,0,76,-34.7408554821241
12.5,0,78,-38.2332400325101
12.5,0,80,-41.9072723526281
12.5,0,82,-43.7182853752427
12.5,0,84,-42.5740416898416
12.5,0,86,-40.860878192078
12.5,0,88,-39.607580275019
12.5,0,90,-38.8378187509729
12.5,0,92,-38.4307596855983
12.5,0,94,-38.2674679214268
12.5,0,96,-38.2366675691977
12.5,0,98,-38.229869521864
12.5,0,100,-38.1497066868207
12.5,0,102,-37.9320284773099
12.5,0,104,-37.5632672314098
12.5,0,106,-37.0710678459537
12.5,0,108,-36.4913202678619
12.5,0,110,-35.836882625418
12.5,0,112,-35.088604782232
12.5,0,114,-34.2148315360794
12.5,0,116,-33.2095750281865
12.5,0,118,-32.1206771339874
12.5,0,120,-31.0436606679977
12.5,0,122,-30.0923004167886
12.5,0,124,-29.3750439271481
12.5,0,126,-28.9897955845644
12.5,0,128,-29.0323783053137
12.5,0,130,-29.6119394280575
12.5,0,132,-30.8685067657089
12.5,0,134,-32.9666348425903
12.5,0,136,-35.8338651428546
12.5,0,138,-37.645658712249
12.5,0,140,-36.0709673863182
12.5,0,142,-33.9485028313989
12.5,0,144,-32.9487613650355
12.5,0,146,-33.2954250910412
12.5,0,148,-35.0964134138944
12.5,0,150,-37.8615316588265
12.5,0,152,-37.5440096819562
12.5,0,154,-34.2543521352394
12.5,0,156,-32.0277020199111
12.5,0,158,-31.4106891147157
12.5,0,160,-32.5534659231955
12.5,0,162,-36.3356069613221
12.5,0,164,-46.6029567431813
12.5,0,166,-37.7668748125264
12.5,0,168,-31.3932821188964
12.5,0,170,-28.0747022352473
12.5,0,172,-26.1016200419488
12.5,0,174,-24.8815515506279
12.5,0,176,-24.1601706270654
12.5,0,178,-23.8679579228394
12.5,0,180,-24.0463614764029
