"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,-180,-102,0.82048737983623
12.5,-180,-101,1.0274834545815
12.5,-180,-100,1.23385341519999
12.5,-180,-99,1.43965036143265
12.5,-180,-98,1.6449181910103
12.5,-180,-97,1.84969200614829
12.5,-180,-96,2.0539985823901
12.5,-180,-95,2.25785688163372
12.5,-180,-94,2.46127859360585
12.5,-180,-93,2.66426869227359
12.5,-180,-92,2.86682599572286
12.5,-180,-91,3.06894371990365
12.5,-180,-90,3.27061001835309
12.5,-180,-89,3.47180850156246
12.5,-180,-88,3.67251873105958
12.5,-180,-87,3.87271668453468
12.5,-180,-86,4.07237518945013
12.5,-180,-85,4.27146432354734
12.5,-180,-84,4.46995178150156
12.5,-180,-83,4.6678032076859
12.5,-180,-82,4.86498249559654
12.5,-180,-81,5.06145205497062
12.5,-180,-80,5.25717304800727
12.5,-180,-79,5.45210559638984
12.5,-180,-78,5.64620896101463
12.5,-180,-77,5.83944169646874
12.5,-180,-76,6.03176178237537
12.5,-180,-75,6.22312673375165
12.5,-180,-74,6.41349369250733
12.5,-180,-73,6.60281950216271
12.5,-180,-72,6.79106076778823
12.5,-180,-71,6.97817390307103
12.5,-180,-70,7.16411516630376
12.5,-180,-69,7.34884068697028
12.5,-180,-68,7.53230648447776
12.5,-180,-67,7.71446848045672
12.5,-180,-66,7.89528250592407
12.5,-180,-65,8.07470430447975
12.5,-180,-64,8.25268953258793
12.5,-180,-63,8.42919375787961
12.5,-180,-62,8.6041724563051
12.5,-180,-61,8.77758100886393
12.5,-180,-60,8.94937469854489
12.5,-180,-59,9.1195087080221
12.5,-180,-58,9.28793811857139
12.5,-180,-57,9.45461791059788
12.5,-180,-56,9.61950296609701
12.5,-180,-55,9.78254807330932
12.5,-180,-54,9.9437079337723
12.5,-180,-53,10.1029371719208
12.5,-180,-52,10.2601903473401
12.5,-180,-51,10.4154219697339
12.5,-180,-50,10.5685865166275
12.5,-180,-49,10.7196384537965
12.5,-180,-48,10.8685322583731
12.5,-180,-47,11.0152224445588
12.5,-180,-46,11.1596635918435
12.5,-180,-45,11.3018103756101
12.5,-180,-44,11.4416175999826
12.5,-180,-43,11.5790402327588
12.5,-180,-42,11.7140334422546
12.5,-180,-41,11.8465526358736
12.5,-180,-40,11.9765535002067
12.5,-180,-39,12.1039920424583
12.5,-180,-38,12.2288246329906
12.5,-180,-37,12.3510080487741
12.5,-180,-36,12.4704995175311
12.5,-180,-35,12.5872567623598
12.5,-180,-34,12.7012380466293
12.5,-180,-33,12.8124022189377
12.5,-180,-32,12.9207087579348
12.5,-180,-31,13.0261178168137
12.5,-180,-30,13.1285902672852
12.5,-180,-29,13.2280877428588
12.5,-180,-28,13.3245726812613
12.5,-180,-27,13.4180083658361
12.5,-180,-26,13.5083589657771
12.5,-180,-25,13.5955895750611
12.5,-180,-24,13.6796662499542
12.5,-180,-23,13.7605560449811
12.5,-180,-22,13.8382270472545
12.5,-180,-21,13.9126484090756
12.5,-180,-20,13.9837903787267
12.5,-180,-19,14.0516243293886
12.5,-180,-18,14.116122786124
12.5,-180,-17,14.1772594508826
12.5,-180,-16,14.2350092254884
12.5,-180,-15,14.2893482325841
12.5,-180,-14,14.3402538345127
12.5,-180,-13,14.3877046501293
12.5,-180,-12,14.4316805695426
12.5,-180,-11,14.472162766793
12.5,-180,-10,14.5091337104871
12.5,-180,-9,14.5425771724105
12.5,-180,-8,14.5724782341542
12.5,-180,-7,14.5988232917936
12.5,-180,-6,14.6216000586696
12.5,-180,-5,14.640797566327
12.5,-180,-4,14.6564061636727
12.5,-180,-3,14.6684175144254
12.5,-180,-2,14.6768245929321
12.5,-180,-1,14.6816216784355
12.5,-180,0,14.6828043478825
12.5,-180,1,14.6803694673686
12.5,-180,2,14.674315182319
12.5,-180,3,14.6646409065131
12.5,-180,4,14.6513473100606
12.5,-180,5,14.6344363064445
12.5,-180,6,14.6139110387464
12.5,-180,7,14.5897758651722
12.5,-180,8,14.5620363439997
12.5,-180,9,14.5306992180671
12.5,-180,10,14.4957723989227
12.5,-180,11,14.4572649507568
12.5,-180,12,14.4151870742305
12.5,-180,13,14.3695500903191
12.5,-180,14,14.3203664242803
12.5,-180,15,14.267649589856
12.5,-180,16,14.2114141738121
12.5,-180,17,14.1516758209161
12.5,-180,18,14.0884512194468
12.5,-180,19,14.0217580873282
12.5,-180,20,13.9516151589716
12.5,-180,21,13.8780421729097
12.5,-180,22,13.8010598602982
12.5,-180,23,13.7206899343604
12.5,-180,24,13.6369550808462
12.5,-180,25,13.5498789495741
12.5,-180,26,13.4594861471257
12.5,-180,27,13.3658022307595
12.5,-180,28,13.2688537036149
12.5,-180,29,13.168668011276
12.5,-180,30,13.0652735397715
12.5,-180,31,12.9586996150873
12.5,-180,32,12.8489765042792
12.5,-180,33,12.7361354182749
12.5,-180,34,12.6202085164655
12.5,-180,35,12.5012289131949
12.5,-180,36,12.3792306862656
12.5,-180,37,12.2542488875899
12.5,-180,38,12.1263195561298
12.5,-180,39,11.9954797332776
12.5,-180,40,11.8617674808492
12.5,-180,41,11.7252219018696
12.5,-180,42,11.5858831643536
12.5,-180,43,11.4437925282927
12.5,-180,44,11.2989923760847
12.5,-180,45,11.1515262466541
12.5,-180,46,11.0014388735342
12.5,-180,47,10.848776227202
12.5,-180,48,10.6935855619765
12.5,-180,49,10.5359154678153
12.5,-180,50,10.3758159273683
12.5,-180,51,10.2133383786725
12.5,-180,52,10.048535783898
12.5,-180,53,9.88146270458686
12.5,-180,54,9.71217538385226
12.5,-180,55,9.54073183604091
12.5,-180,56,9.36719194439156
12.5,-180,57,9.19161756725751
12.5,-180,58,9.01407265349467
12.5,-180,59,8.83462336765047
12.5,-180,60,8.65333822562201
12.5,-180,61,8.47028824148218
12.5,-180,62,8.28554708620031
12.5,-180,63,8.0991912590051
12.5,-180,64,7.91130027215266
12.5,-180,65,7.72195684986717
12.5,-180,66,7.53124714221277
12.5,-180,67,7.33926095463079
12.5,-180,68,7.14609199383
12.5,-180,69,6.95183813064517
12.5,-180,70,6.75660168037556
12.5,-180,71,6.56048970097178
12.5,-180,72,6.36361430925068
12.5,-180,73,6.16609301507377
12.5,-180,74,5.96804907311686
12.5,-180,75,5.769611851475
12.5,-180,76,5.5709172158778
12.5,-180,77,5.37210792772267
12.5,-180,78,5.17333405345586
12.5,-180,79,4.97475338203058
12.5,-180,80,4.77653184623682
12.5,-180,81,4.5788439426188
12.5,-180,82,4.38187314346511
12.5,-180,83,4.18581229297083
12.5,-180,84,3.99086397813163
12.5,-180,85,3.7972408632473
12.5,-180,86,3.6051659751053
12.5,-180,87,3.41487292401644
12.5,-180,88,3.22660604393252
12.5,-180,89,3.04062043295417
12.5,-180,90,2.85718187372462
12.5,-180,91,2.67656661160931
12.5,-180,92,2.49906096731648
12.5,-180,93,2.32496075987571
12.5,-180,94,2.1545705158381
12.5,-180,95,1.98820244138338
12.5,-180,96,1.82617513591654
12.5,-180,97,1.66881202889778
12.5,-180,98,1.5164395262441
12.5,-180,99,1.36938485878997
12.5,-180,100,1.22797363305132
12.5,-180,101,1.09252709386324
12.5,-180,102,0.963359119197752
12.5,-180,103,0.840772979321912
12.5,-180,104,0.725057904985034
12.5,-180,105,0.616485521942759
12.5,-180,106,0.51530622111794
12.5,-180,107,0.421745544259614
12.5,-180,108,0.336000673246557
12.5,-180,109,0.2582371163791
12.5,-180,110,0.188585686412937
12.5,-180,111,0.127139862206075
12.5,-180,112,0.073953618436405
12.5,-180,113,0.0290397959856191
12.5,-180,114,-0.00763093029838013
12.5,-180,115,-0.0361304488949957
12.5,-180,116,-0.0565729577634008
12.5,-180,117,-0.069114065510069
12.5,-180,118,-0.0739492757365569
12.5,-180,119,-0.0713119031019731
12.5,-180,120,-0.0614704872142767
12.5,-180,121,-0.0447257843493143
12.5,-180,122,-0.0214074265943999
12.5,-180,123,0.00812965692654519
12.5,-180,124,0.0435089614795161
12.5,-180,125,0.0843361789897154
12.5,-180,126,0.130202936255726
12.5,-180,127,0.180690423807142
12.5,-180,128,0.235372851548299
12.5,-180,129,0.293820679789212
12.5,-180,130,0.355603586972986
12.5,-180,131,0.420293147713362
12.5,-180,132,0.487465206143625
12.5,-180,133,0.556701939682731
12.5,-180,134,0.627593616923522
12.5,-180,135,0.69974006034674
12.5,-180,136,0.772751829972428
12.5,-180,137,0.846251147970091
12.5,-180,138,0.919872586806156
12.5,-180,139,0.993263544894539
12.5,-180,140,1.06608453412845
12.5,-180,141,1.13800930330458
12.5,-180,142,1.20872482048983
12.5,-180,143,1.27793113599119
