"Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
12.5,0,94,-36.9910768781425
12.5,0,95,-36.9854913114386
12.5,0,96,-36.94045636559
12.5,0,97,-36.861864589684
12.5,0,98,-36.7559481114583
12.5,0,99,-36.6290682052401
12.5,0,100,-36.4875469116948
12.5,0,101,-36.3375448207909
12.5,0,102,-36.1849835499174
12.5,0,103,-36.0355078689719
12.5,0,104,-35.8944807256751
12.5,0,105,-35.7670041985985
12.5,0,106,-35.6579601665747
12.5,0,107,-35.5720658052856
12.5,0,108,-35.5139406013216
12.5,0,109,-35.4881832413812
12.5,0,110,-35.4994584418228
12.5,0,111,-35.5525955900551
12.5,0,112,-35.6527031356166
12.5,0,113,-35.8053052797596
12.5,0,114,-36.0165111358325
12.5,0,115,-36.2932319494551
12.5,0,116,-36.6434705313675
12.5,0,117,-37.0767212218864
12.5,0,118,-37.6045431374073
12.5,0,119,-38.2414134568609
12.5,0,120,-39.0060507458054
12.5,0,121,-39.9235650671392
12.5,0,122,-41.0291496775885
12.5,0,123,-42.3748670347642
12.5,0,124,-44.0432711594268
12.5,0,125,-46.1782350469117
12.5,0,126,-49.0680858363379
12.5,0,127,-53.445191962581
12.5,0,128,-62.5355135568719
12.5,0,129,-64.3935093988857
12.5,0,130,-54.3912106009793
12.5,0,131,-50.0258642103987
12.5,0,132,-47.2740159784899
12.5,0,133,-45.3139754322221
12.5,0,134,-43.8331052880953
12.5,0,135,-42.679588653125
12.5,0,136,-41.7701611608312
12.5,0,137,-41.0572043461934
12.5,0,138,-40.5149623205892
12.5,0,139,-40.1333243538515
12.5,0,140,-39.9152037105635
12.5,0,141,-39.8761829523687
12.5,0,142,-40.046411784408
12.5,0,143,-40.4759788604909
12.5,0,144,-41.2472923527122
12.5,0,145,-42.5044998738792
12.5,0,146,-44.5338304094632
12.5,0,147,-48.051707194845
12.5,0,148,-56.1235752930343
12.5,0,149,-58.1589472439437
12.5,0,150,-47.1313816180468
12.5,0,151,-42.0873722744352
12.5,0,152,-38.7594259501042
12.5,0,153,-36.3102531382745
12.5,0,154,-34.4309480633411
12.5,0,155,-32.9787194955616
12.5,0,156,-31.8823084388841
12.5,0,157,-31.1092924507174
12.5,0,158,-30.6541721458337
12.5,0,159,-30.5364981885634
12.5,0,160,-30.8075645462486
12.5,0,161,-31.5711471455746
12.5,0,162,-33.0400695459982
12.5,0,163,-35.7208019189085
12.5,0,164,-41.3548525572754
12.5,0,165,-58.6104432922339
12.5,0,166,-37.8678865844334
12.5,0,167,-31.6461308292987
12.5,0,168,-27.714779777336
12.5,0,169,-24.8119852626945
12.5,0,170,-22.5189124433015
12.5,0,171,-20.6439460075309
12.5,0,172,-19.0833475596273
12.5,0,173,-17.7747884916696
12.5,0,174,-16.6781479723836
12.5,0,175,-15.7663904794593
12.5,0,176,-15.0207876045959
12.5,0,177,-14.4282348013636
12.5,0,178,-13.9796725480832
12.5,0,179,-13.6691371078006
12.5,0,180,-13.4931998732693
